Compound_ID,Smiles,Activity_Label,Toxicity_Label
FLV001,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,1,0
FLV002,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,1,0
FLV003,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,1,0
FLV004,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,1,0
FLV005,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,1,0
FLV006,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,1,0
FLV007,COC1=C(C=CC(=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,1,0
FLV008,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1,0
FLV009,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1,0
FLV010,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,1,0
FLV011,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,1,0
FLV012,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,1,0
FLV013,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,1,0
FLV014,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,1,0
FLV015,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,1,0
FLV016,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,1,0
FLV017,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,1,0
FLV018,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,1,0
FLV019,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,1,0
FLV020,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,1,1
FLV021,COC1=C(C=C(C(=C1OC)OC)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,1,1
FLV022,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,1,0
FLV023,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,1,0
FLV024,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O,1,0
FLV025,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,1,1
FLV026,COC1=C(C=CC(=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)CO)O,1,1
FLV027,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O,1,0
FLV028,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,1,0
FLV029,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,1,1
FLV030,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,1,0
ALK001,CCCCCC,0,0
ALK002,CCCCCCCCCC,0,0
ALK003,CCCCCCCCCCCC,0,0
ALC001,CCO,0,0
ALC002,CCCO,0,0
ACD001,CC(=O)O,0,0
ACD002,CCCC(=O)O,0,0
AMN001,CCN,0,0
AMN002,CCCCN,0,0
EST001,CC(=O)OCC,0,0
SUG001,OC[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,0
SUG002,OCC(O)C(O)C(O)C(O)CO,0,0
