Compound_ID,Smiles,Activity_Label,Toxicity_Label
CMP001,CO,0,0
CMP002,CCO,0,0
CMP003,CCCO,0,0
CMP004,CCCCO,0,0
CMP005,CCCCC,0,0
CMP006,CCCCCC,0,0
CMP007,CC(C)O,0,0
CMP008,CC(C)(C)O,0,0
CMP009,OCCO,0,0
CMP010,OCC(O)CO,0,1
CMP011,CN,0,0
CMP012,CCN,0,0
CMP013,CCNCC,1,0
CMP014,CCN(CC)CC,1,0
CMP015,NC1=CC=CC=C1,1,1
CMP016,CC1=CC=C(N)C=C1,1,1
CMP017,NCC1=CC=CC=C1,1,0
CMP018,NC1CCCCC1,0,0
CMP019,C1=CC=CC=C1,0,1
CMP020,CC1=CC=CC=C1,1,1
CMP021,CCC1=CC=CC=C1,1,1
CMP022,CC1=CC=C(C)C=C1,1,1
CMP023,C1=CC=C2C=CC=CC2=C1,1,1
CMP024,C1=CC=C2C=C3C=CC=CC3=CC2=C1,1,1
CMP025,C1=CC=C(C=C1)C2=CC=CC=C2,1,1
CMP026,OC1=CC=CC=C1,1,1
CMP027,OC1=CC=CC=C1O,1,1
CMP028,OC1=CC(O)=CC=C1,1,0
CMP029,OC1=CC=C(O)C=C1,1,1
CMP030,CC1=CC=C(O)C=C1,1,1
CMP031,CC1=CC(C(C)C)=C(O)C=C1,1,0
CMP032,COC1=CC(CC=C)=CC=C1O,1,0
CMP033,C(=O)O,0,0
CMP034,CC(=O)O,0,0
CMP035,CCC(=O)O,0,0
CMP036,CCCC(=O)O,0,0
CMP037,OC(=O)C1=CC=CC=C1,1,0
CMP038,OC(=O)C1=CC=CC=C1O,1,1
CMP039,CC(=O)OC1=CC=CC=C1C(=O)O,1,1
CMP040,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,0
CMP041,COC1=CC=C2C=C(C=CC2=C1)C(C)C(=O)O,1,0
CMP042,CC(=O)OCC,0,0
CMP043,COC(=O)C1=CC=CC=C1O,1,0
CMP044,CC(=O)C,0,0
CMP045,CC(=O)C1=CC=CC=C1,1,0
CMP046,O=C(C1=CC=CC=C1)C2=CC=CC=C2,1,0
CMP047,CC1(C)C2CCC1(C)C(=O)C2,1,0
CMP048,C(Cl)(Cl)Cl,0,1
CMP049,C(Cl)(Cl)(Cl)Cl,0,1
CMP050,ClC1=CC=CC=C1,1,1
CMP051,BrC1=CC=CC=C1,1,1
CMP052,ClC1=CC=C(Cl)C=C1,1,1
CMP053,OC1=CC=C(Cl)C=C1Cl,1,1
CMP054,BrC(F)(F)C(Cl)F,0,1
CMP055,C1=CC=NC=C1,1,0
CMP056,C1=CN=CN=C1,1,0
CMP057,C1=CNC=N1,1,0
CMP058,C1=CC=C2NC=CC2=C1,1,1
CMP059,C1=CC=C2N=CC=CC2=C1,1,1
CMP060,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1,0
CMP061,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0
