Compound_ID,Smiles
COMP001,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
COMP002,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
COMP003,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
COMP004,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2
COMP005,C1=CC=C(C=C1)O
COMP006,CC1=CC=C(C=C1)O
COMP007,C1=CC=C(C=C1)CO
COMP008,C1=CC=C(C=C1)CCO
COMP009,C1=CC=C(C=C1)CCC(=O)O
COMP010,C1=CC=C(C=C1)C(=O)O
COMP011,C1=CC=C(C=C1)CC2=CC(=O)C3=C(C=C(C=C3O2)O)O
COMP012,CN1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3
COMP013,C1=CC=C(C=C1)N
COMP014,C1=CC=C(C=C1)Cl
COMP015,C1=CC=C(C=C1)Br
COMP016,C1=CC=C(C=C1)I
COMP017,C1=CC=C(C=C1)F
COMP019,C1=CC=C(C=C1)S
COMP021,C1=CC=CC=C1
COMP022,CCCCCCCC
COMP023,CC(C)C
COMP024,C1CCCCC1
COMP025,CCO
COMP026,CCCO
COMP027,CCCCO
COMP028,CC(C)O
COMP029,C1COCC1
COMP031,C1=CC=C(C=C1)OC(=O)C
COMP032,C1=CC=C(C=C1)C#N
COMP033,C1=CC=C(C=C1)C(=O)Cl
COMP034,C1=CC=C(C=C1)N(C)C
COMP035,C1=CC=C(C=C1)OC(=O)CC
COMP036,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
COMP037,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2
COMP038,C1=CC=C(C=C1)CC(=O)OC
COMP039,C1=CC=C(C=C1)C(=O)OC
COMP040,C1=CC=C(C=C1)CC#N
COMP041,C1=CC=C(C=C1)C(=O)N
COMP042,C1=CC=C(C=C1)S(=O)O
COMP043,C1=CC=C(C=C1)SC
COMP044,C1=CC=C(C=C1)OCC
COMP045,C1=CC=C(C=C1)CC=C
COMP050,C1=CC=C(C=C1)CN
