Compound_ID,Smiles,Toxicity_Label
667490,C1=NC2=C(N1)C(=S)N=CN2,1
1983,CC(=O)NC1=CC=C(C=C1)O,1
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],1
2725,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0
2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,1
2907,C1CNP(=O)(OC1)N(CCCl)CCCl,1
681,C1=CC(=C(C=C1CCN)O)O,0
450,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,1
3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1
3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,1
3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1
3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,1
453,C(C(C(C(C(CO)O)O)O)O)O,0
4112,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,1
4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,1
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1
135512673,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,1
54685734,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,1
1971,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,1
135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,1
135401907,C1=NNC2=C1C(=O)NC=N2,1
34870,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O,1
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1
2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,1
1972,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1
2174,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,1
3152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,1
2244,CC(=O)OC1=CC=CC=C1C(=O)O,1
2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N,0
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,1
444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,1
2550,CC(CS)C(=O)N1CCCC1C(=O)O,1
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1
426756,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],1
2650,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],1
2710,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,1
2733,C1=CC2=C(C=C1Cl)NC(=O)O2,1
2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,1
84691,N.N.Cl[Pt]Cl,1
3080,C(C(CS)S)O,0
2833,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0
56987786,CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C4CCCN4C(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(C(C)C)NC(=O)C6CCCN6C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC8=CNC9=CC=CC=C98)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CO)N,0
2019,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1
2952,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],1
54680103,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0
15330,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,1
3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1
3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,1
3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,0
3310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1
3325,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,1
3331,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,1
3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,1
3342,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,1
3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,1
3657,C(=O)(N)NO,1
