Compound_ID,Smiles,Activity_Label,Toxicity_Label
COMP001,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,1,0
COMP002,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1,0
COMP003,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,0
COMP004,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,1,0
COMP005,C1=CC=C(C=C1)O,1,0
COMP006,CC1=CC=C(C=C1)O,1,0
COMP007,C1=CC=C(C=C1)CO,1,0
COMP008,C1=CC=C(C=C1)CCO,1,0
COMP009,C1=CC=C(C=C1)CCC(=O)O,1,0
COMP010,C1=CC=C(C=C1)C(=O)O,1,0
COMP011,C1=CC=C(C=C1)CC2=CC(=O)C3=C(C=C(C=C3O2)O)O,1,1
COMP012,CN1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3,1,1
COMP013,C1=CC=C(C=C1)N,1,1
COMP014,C1=CC=C(C=C1)Cl,1,1
COMP015,C1=CC=C(C=C1)Br,1,1
COMP016,C1=CC=C(C=C1)I,1,1
COMP017,C1=CC=C(C=C1)F,1,1
COMP019,C1=CC=C(C=C1)S,1,1
COMP021,C1=CC=CC=C1,0,0
COMP022,CCCCCCCC,0,0
COMP023,CC(C)C,0,0
COMP024,C1CCCCC1,0,0
COMP025,CCO,0,0
COMP026,CCCO,0,0
COMP027,CCCCO,0,0
COMP028,CC(C)O,0,0
COMP029,C1COCC1,0,0
COMP031,C1=CC=C(C=C1)OC(=O)C,0,1
COMP032,C1=CC=C(C=C1)C#N,0,1
COMP033,C1=CC=C(C=C1)C(=O)Cl,0,1
COMP034,C1=CC=C(C=C1)N(C)C,0,1
COMP035,C1=CC=C(C=C1)OC(=O)CC,0,1
COMP036,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,1,1
COMP037,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2,1,1
COMP038,C1=CC=C(C=C1)CC(=O)OC,1,1
COMP039,C1=CC=C(C=C1)C(=O)OC,1,1
COMP040,C1=CC=C(C=C1)CC#N,1,1
COMP041,C1=CC=C(C=C1)C(=O)N,1,1
COMP042,C1=CC=C(C=C1)S(=O)O,1,1
COMP043,C1=CC=C(C=C1)SC,1,1
COMP044,C1=CC=C(C=C1)OCC,1,1
COMP045,C1=CC=C(C=C1)CC=C,1,1
COMP050,C1=CC=C(C=C1)CN,1,1
