Rank,Compound_ID,Smiles,Wiener,Zagreb1,Zagreb2,Balaban_RDKit,activity_score,Activity_Predicted_Label,toxicity_score,Toxicity_Predicted_Label,safety_score,priority_score
1,445881,C1=CC(=C(C=C1[C@@H]2[C@H](C(C3=C(C=C(C=C3O2)O)O)O)O)O)O,986,120,145,2.0616,0.3264265312229799,0,0.4970219198790627,0,0.5029780801209374,0.16418538997507162
2,65084,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,1005,120,144,2.0282,0.29862261137093477,0,0.4970219198790627,0,0.5029780801209374,0.15020062774805357
3,72277,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,1005,120,144,2.0282,0.29862261137093477,0,0.4970219198790627,0,0.5029780801209374,0.15020062774805357
4,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,894,114,136,1.9979,0.29631609425968053,0,0.5018518518518518,1,0.49814814814814823,0.14760931362195198
5,9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,894,114,136,1.9979,0.29631609425968053,0,0.5018518518518518,1,0.49814814814814823,0.14760931362195198
6,24772948,COC1=C(C(=C(C=C1)C2COC3=C(C2=O)C=CC(=C3)O)OC)O,1138,122,148,2.0513,0.3169966017486746,0,0.5815893365893366,1,0.41841066341066335,0.13263475843658878
7,56658060,COC1=C(C=CC(=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,1122,124,150,2.0702,0.3429045827601743,0,0.621358407986315,1,0.37864159201368497,0.1298379371251008
8,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,1038,118,141,1.9836,0.3492566722933016,0,0.6410194888766317,1,0.35898051112336826,0.12537633873309614
9,161557,"C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O
",1104,126,153,2.1085,0.28700594095164084,0,0.5697397563676635,1,0.4302602436323365,0.12348724607778097
10,70696494,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC(=CC(=C3)O)O)O,1013,118,140,2.0283,0.2972496416855181,0,0.6021428571428571,1,0.3978571428571429,0.11826289315630971
11,122850,"C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O

",872,114,137,2.0668,0.2914622041387985,0,0.6195566061845131,1,0.38044339381548686,0.11088487011150673
12,130403,COC1=CC(=CC(=C1O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,1245,130,158,2.1056,0.2870520974723024,0,0.6149419256093699,1,0.3850580743906301,0.11053172790247623
13,441437,C1[C@H]([C@@H](C([C@H]([C@@H]1O)O)O)O)O,140,54,63,2.6254,0.12905344446485892,0,0.17931159420289855,0,0.8206884057971015,0.10591266560048983
14,439533,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,986,120,145,2.0824,0.2712038483575,0,0.6393856188706687,1,0.3606143811293313,0.09780000793533287
15,197081,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O.[Cl-],2753,174,210,0.0,0.18956064306986448,0,0.5036092214663643,1,0.49639077853363567,0.09409615519278666
